212.38;2000;0.001177;0.099587;906.12;1693;2599.1;908.47;1889.8;2798.3;2.4467;3.8923;6.339
218.41;2250;0.001187;0.088717;933.54;1667.3;2600.9;936.21;1864.3;2800.5;2.5029;3.7926;6.2954
223.95;2500;0.001197;0.079952;958.87;1643.2;2602.1;961.87;1840.1;2801.9;2.5542;3.7016;6.2558
233.85;3000;0.001217;0.066667;1004.6;1598.5;2603.2;1008.3;1794.9;2803.2;2.6454;3.5402;6.1856
242.56;3500;0.001235;0.057061;1045.4;1557.6;2603;1049.7;1753;2802.7;2.7253;3.3991;6.1244
250.35;4000;0.001252;0.049779;1082.4;1519.3;2601.7;1087.4;1713.5;2800.8;2.7966;3.2731;6.0696
263.94;5000;0.001286;0.039448;1148.1;1448.9;2597;1154.5;1639.7;2794.2;2.9207;3.053;5.9737
275.59;6000;0.001319;0.032449;1205.8;1384.1;2589.9;1213.8;1570.9;2784.6;3.0275;2.8627;5.8902
285.83;7000;0.001352;0.027378;1258;1323;2581;1267.5;1505.2;2772.6;3.122;2.6927;5.8148
295.01;8000;0.001384;0.023525;1306;1264.5;2570.5;1317.1;1441.6;2758.7;3.2077;2.5373;5.745
303.35;9000;0.001418;0.020489;1350.9;1207.6;2558.5;1363.7;1379.3;2742.9;3.2866;2.3925;5.6791
311;10;0.001452;0.018028;1393.3;1151.8;2545.2;1407.8;1317.6;2725.5;3.3603;2.2556;5.6159
318.08;11;0.001488;0.015988;1433.9;1096.6;2530.4;1450.2;1256.1;2706.3;3.4299;2.1245;5.5544
324.68;12;0.001526;0.014264;1473;1041.3;2514.3;1491.3;1194.1;2685.4;3.4964;1.9975;5.4939
330.85;13;0.001566;0.012781;1511;985.5;2496.6;1531.4;1131.3;2662.7;3.5606;1.873;5.4336
336.67;14;0.00161;0.011487;1548.4;928.7;2477.1;1571;1067;2637.9;3.6232;1.7497;5.3728
342.16;15;0.001657;0.010341;1585.5;870.3;2455.7;1610.3;1000.5;2610.8;3.6848;1.6261;5.3108
347.36;16;0.00171;0.009312;1622.6;809.4;2432;1649.9;931.1;2581;3.7461;1.5005;5.2466
352.29;17;0.00177;0.008374;1660.2;745.1;2405.4;1690.3;857.4;2547.7;3.8082;1.3709;5.1791
356.99;18;0.00184;0.007504;1699.1;675.9;2375;1732.2;777.8;2510;3.872;1.2343;5.1064
361.47;19;0.001926;0.006677;1740.3;598.9;2339.2;1776.8;689.2;2466;3.9396;1.086;5.0256
365.75;20;0.002038;0.005862;1785.8;509;2294.8;1826.6;585.5;2412.1;4.0146;0.9164;4.931
369.83;21;0.002207;0.004994;1841.6;391.9;2233.5;1888;450.4;2338.4;4.1071;0.7005;4.8076
373.71;22;0.002703;0.003644;1951.7;140.8;2092.4;2011.1;161.5;2172.6;4.2942;0.2496;4.5439
373.95;22.064;0.003106;0.003106;2015.7;0;2015.7;2084.3;0;2084.3;4.407;0;4.407
